,Vehicle ID,Year,Class,Drive,Transmission,Engine Cylinders,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Fuel Economy Score,Gasoline/Electricity Blended
37110,38380,2017,Small Pickup Trucks 2WD,Rear-Wheel Drive,Manual 6-Speed,4,2.5,0,0,Regular,5,FALSE
37111,38388,2017,Small Pickup Trucks 4WD,4-Wheel Drive,Automatic 6-Speed,4,2.5,0,0,Regular,4,FALSE
37112,38390,2017,Small Pickup Trucks 4WD,4-Wheel Drive,Automatic 6-Speed,4,2.8,1,0,Diesel,5,FALSE
37113,38389,2017,Small Pickup Trucks 4WD,4-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,4,FALSE
37114,38394,2017,Special Purpose Vehicle 2WD,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,2,FALSE
37115,37869,2017,Two Seaters,Rear-Wheel Drive,Automatic (S8),8,6.2,0,0,Premium,4,FALSE
37116,37872,2017,Two Seaters,Rear-Wheel Drive,Automatic (S8),8,6.2,0,1,Premium,2,FALSE
37117,37870,2017,Two Seaters,Rear-Wheel Drive,Manual 7-Speed,8,6.2,0,0,Premium,4,FALSE
37118,37871,2017,Two Seaters,Rear-Wheel Drive,Manual 7-Speed,8,6.2,0,1,Premium,3,FALSE
37119,37907,2017,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.4,1,0,Regular,8,FALSE
37120,37911,2017,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.4,1,0,Regular,7,FALSE
37121,37909,2017,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.4,1,0,Regular,7,FALSE
37122,37912,2017,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.4,1,0,Regular,7,FALSE
37123,37908,2017,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.4,1,0,Regular,8,FALSE
37124,37910,2017,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.4,1,0,Regular,7,FALSE
37125,37464,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,4,2.4,0,0,Regular,5,FALSE
37126,37505,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,6,3.6,0,0,Regular,3,FALSE
37127,37506,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,4,2.4,0,0,Gasoline or E85,5,FALSE
37128,37499,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 6-Speed,4,2.4,0,0,Regular,5,FALSE
37129,37500,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.6,0,0,Regular,4,FALSE
37130,37501,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 6-Speed,4,2.4,0,0,Gasoline or E85,5,FALSE
37131,37661,2017,"Vans, Passenger Type",Rear-Wheel Drive,Automatic 6-Speed,8,6,0,0,Regular,1,FALSE
37132,37662,2017,"Vans, Passenger Type",Rear-Wheel Drive,Automatic 6-Speed,8,6,0,0,Regular,1,FALSE
37133,37494,2017,Large Cars,Front-Wheel Drive,Automatic (S6),4,2.5,0,0,Regular,5,FALSE
37134,37495,2017,Large Cars,Front-Wheel Drive,Automatic (S6),6,3.6,0,0,Regular,5,FALSE
37135,37777,2017,Large Cars,Front-Wheel Drive,Automatic (S6),6,3.6,0,0,Gasoline or E85,5,FALSE
37136,37928,2017,Midsize Cars,Front-Wheel Drive,Automatic 6-Speed,4,1.5,1,0,Regular,7,FALSE
37137,38096,2017,Midsize Cars,Front-Wheel Drive,Automatic 9-Speed,4,2,1,0,Premium,6,FALSE
37138,38097,2017,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.8,0,0,Regular,10,FALSE
37139,37640,2017,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 8-Speed,8,5.3,0,0,Regular,4,FALSE
37140,37649,2017,Standard Pickup Trucks 4WD,4-Wheel Drive,Automatic 8-Speed,8,5.3,0,0,Regular,3,FALSE
37141,37642,2017,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Regular,4,FALSE
37142,37643,2017,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 6-Speed,6,4.3,0,0,Gasoline or E85,4,FALSE
37143,37944,2017,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Gasoline or E85,4,FALSE
37144,37641,2017,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 8-Speed,8,6.2,0,0,Regular,3,FALSE
37145,38185,2017,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 8-Speed,8,5.3,0,0,Regular,3,FALSE
37146,37667,2017,Special Purpose Vehicle 2WD,Rear-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Regular,3,FALSE
37147,37652,2017,Standard Pickup Trucks 4WD,4-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Regular,3,FALSE
37148,37653,2017,Standard Pickup Trucks 4WD,4-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Gasoline or E85,3,FALSE
37149,37654,2017,Standard Pickup Trucks 4WD,4-Wheel Drive,Automatic 6-Speed,6,4.3,0,0,Gasoline or E85,4,FALSE
37150,37650,2017,Standard Pickup Trucks 4WD,4-Wheel Drive,Automatic 8-Speed,8,6.2,0,0,Regular,3,FALSE
37151,37651,2017,Standard Pickup Trucks 4WD,4-Wheel Drive,Automatic 8-Speed,8,5.3,0,0,Regular,3,FALSE
37152,37666,2017,Special Purpose Vehicle 4WD,4-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Regular,3,FALSE
37153,37903,2017,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.8,0,0,Regular,6,FALSE
37154,37905,2017,Compact Cars,Front-Wheel Drive,Automatic (S6),4,1.4,1,0,Regular,7,FALSE
37155,37904,2017,Compact Cars,Front-Wheel Drive,Manual 5-Speed,4,1.8,0,0,Regular,6,FALSE
37156,37906,2017,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.4,1,0,Regular,7,FALSE
37157,37940,2017,Small Station Wagons,Front-Wheel Drive,Automatic (S6),4,1.8,0,0,Regular,6,FALSE
37158,37942,2017,Small Station Wagons,Front-Wheel Drive,Automatic (S6),4,1.4,1,0,Regular,7,FALSE
37159,37941,2017,Small Station Wagons,Front-Wheel Drive,Manual 5-Speed,4,1.8,0,0,Regular,6,FALSE
37160,37943,2017,Small Station Wagons,Front-Wheel Drive,Manual 6-Speed,4,1.4,1,0,Regular,7,FALSE
37161,37882,2017,Subcompact Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.4,0,0,Regular,8,FALSE
37162,37883,2017,Subcompact Cars,Front-Wheel Drive,Manual 5-Speed,4,1.4,0,0,Regular,8,FALSE
37163,38442,2017,Subcompact Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.4,0,0,Regular,8,FALSE
37164,38443,2017,Subcompact Cars,Front-Wheel Drive,Manual 5-Speed,4,1.4,0,0,Regular,7,FALSE
37165,38035,2017,Large Cars,Rear-Wheel Drive,Automatic (S6),8,6.2,0,0,Premium,2,FALSE
37166,38036,2017,Large Cars,Rear-Wheel Drive,Manual 6-Speed,8,6.2,0,0,Premium,3,FALSE
37167,37678,2017,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Regular,4,FALSE
37168,37680,2017,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Gasoline or E85,4,FALSE
37169,37690,2017,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Regular,3,FALSE
37170,37692,2017,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Gasoline or E85,3,FALSE
37171,37677,2017,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Regular,4,FALSE
37172,37679,2017,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Gasoline or E85,4,FALSE
37173,37689,2017,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Regular,3,FALSE
37174,37691,2017,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 6-Speed,8,5.3,0,0,Gasoline or E85,3,FALSE
37175,37516,2017,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,6,3.6,0,0,Regular,3,FALSE
37176,37509,2017,Standard Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.6,0,0,Regular,3,FALSE
37177,37946,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,1.4,1,0,Regular,6,FALSE
37178,37948,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,1.4,1,0,Regular,6,FALSE
37179,37309,2017,Compact Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.5,0,0,Regular Gas or Electricity,10,FALSE
37180,38098,2017,Midsize Cars,Front-Wheel Drive,Automatic 9-Speed,4,2.4,0,0,Regular,6,FALSE
37181,38099,2017,Midsize Cars,Front-Wheel Drive,Automatic 9-Speed,4,2.4,0,0,Gasoline or E85,6,FALSE
37182,38100,2017,Midsize Cars,Front-Wheel Drive,Automatic 9-Speed,6,3.6,0,0,Gasoline or E85,5,FALSE
37183,38331,2017,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,5,FALSE
37184,38333,2017,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,8,5.7,0,0,Midgrade,4,FALSE
37185,38493,2017,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Gasoline or E85,5,FALSE
37186,38101,2017,Midsize Cars,All-Wheel Drive,Automatic 9-Speed,6,3.6,0,0,Gasoline or E85,5,FALSE
37187,38332,2017,Large Cars,All-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,4,FALSE
37188,38444,2017,Large Cars,All-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Gasoline or E85,4,FALSE
37189,37292,2017,Minivan - 2WD,Front-Wheel Drive,Automatic 9-Speed,6,3.6,0,0,Regular,5,FALSE
37190,38542,2017,Minivan - 2WD,Front-Wheel Drive,Automatic 9-Speed,6,3.6,0,0,Regular,5,FALSE
37191,38491,2017,Minivan - 2WD,Front-Wheel Drive,Automatic (variable gear ratios),6,3.6,0,0,Regular Gas and Electricity,10,TRUE
37192,38316,2017,Midsize Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,5,FALSE
37193,38318,2017,Midsize Cars,Rear-Wheel Drive,Automatic 8-Speed,8,5.7,0,0,Midgrade,4,FALSE
37194,38319,2017,Midsize Cars,Rear-Wheel Drive,Automatic 8-Speed,8,6.4,0,0,Premium,3,FALSE
37195,38320,2017,Midsize Cars,Rear-Wheel Drive,Manual 6-Speed,8,5.7,0,0,Premium,3,FALSE
37196,38410,2017,Midsize Cars,Rear-Wheel Drive,Manual 6-Speed,8,6.4,0,0,Premium,3,FALSE
37197,38533,2017,Midsize Cars,All-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,4,FALSE
37198,38321,2017,Midsize Cars,Rear-Wheel Drive,Automatic 8-Speed,8,6.2,0,1,Premium,2,FALSE
37199,38322,2017,Midsize Cars,Rear-Wheel Drive,Automatic 8-Speed,8,6.4,0,0,Premium,3,FALSE
37200,38323,2017,Midsize Cars,Rear-Wheel Drive,Manual 6-Speed,8,6.2,0,1,Premium,2,FALSE
37201,38411,2017,Midsize Cars,Rear-Wheel Drive,Manual 6-Speed,8,6.4,0,0,Premium,3,FALSE
37202,38334,2017,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,5,FALSE
37203,38336,2017,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,8,5.7,0,0,Midgrade,4,FALSE
37204,38337,2017,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,8,6.4,0,0,Premium,3,FALSE
37205,38494,2017,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Gasoline or E85,5,FALSE
37206,38335,2017,Large Cars,All-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,4,FALSE
37207,38445,2017,Large Cars,All-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Gasoline or E85,4,FALSE
37208,38338,2017,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,8,6.2,0,1,Premium,2,FALSE
37209,38339,2017,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,8,6.4,0,0,Premium,3,FALSE
37210,37860,2017,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,4,FALSE
37211,37859,2017,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 8-Speed,8,5.7,0,0,Midgrade,3,FALSE
37212,37855,2017,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic 8-Speed,8,5.7,0,0,Midgrade,3,FALSE
37213,37856,2017,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,0,0,Regular,4,FALSE
37214,37835,2017,Minivan - 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.6,0,0,Regular,4,FALSE
37215,37836,2017,Minivan - 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.6,0,0,Gasoline or E85,4,FALSE
37216,37785,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 4-Speed,4,2.4,0,0,Regular,4,FALSE
37217,37786,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.6,0,0,Gasoline or E85,4,FALSE
37218,37791,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,6,3.6,0,0,Regular,4,FALSE
37219,37801,2017,Two Seaters,Rear-Wheel Drive,Manual 6-Speed,10,8.4,0,0,Premium,1,FALSE
37220,37604,2017,Two Seaters,Rear-Wheel Drive,Auto(AM7),8,3.9,1,0,Premium,3,FALSE
37221,37704,2017,Two Seaters,Rear-Wheel Drive,Auto(AM7),8,3.9,1,0,Premium,3,FALSE
37222,37955,2017,Two Seaters,Rear-Wheel Drive,Auto(AM7),8,3.9,1,0,Premium,3,FALSE
37223,37956,2017,Two Seaters,Rear-Wheel Drive,Auto(AM7),8,3.9,1,0,Premium,3,FALSE
37224,37805,2017,Minicompact Cars,Rear-Wheel Drive,Auto(AM7),8,3.9,1,0,Premium,3,FALSE
37225,37806,2017,Minicompact Cars,Rear-Wheel Drive,Auto(AM7),8,3.9,1,0,Premium,4,FALSE
37226,37705,2017,Two Seaters,Rear-Wheel Drive,Auto(AM7),12,6.3,0,0,Premium,1,FALSE
37227,37802,2017,Two Seaters,Rear-Wheel Drive,Auto(AM7),12,6.3,0,0,Premium,1,FALSE
37228,37605,2017,Two Seaters,Rear-Wheel Drive,Auto(AM7),12,6.3,0,0,Premium,1,FALSE
37229,37706,2017,Two Seaters,Rear-Wheel Drive,Auto(AM7),12,6.3,0,0,Premium,1,FALSE
37230,37722,2017,Minicompact Cars,Part-time 4-Wheel Drive,Auto(AM7),12,6.3,0,0,Premium,1,FALSE
37231,37723,2017,Minicompact Cars,Part-time 4-Wheel Drive,Auto(AM7),12,6.3,0,0,Premium,1,FALSE
37232,38047,2017,Two Seaters,Part-time 4-Wheel Drive,Auto(AM7),12,6.3,0,0,Premium,1,FALSE
37233,37807,2017,Minicompact Cars,Front-Wheel Drive,Automatic 6-Speed,4,1.4,0,0,Premium,7,FALSE
37234,37809,2017,Minicompact Cars,Front-Wheel Drive,Automatic 6-Speed,4,1.4,1,0,Premium,6,FALSE
37235,37808,2017,Minicompact Cars,Front-Wheel Drive,Manual 5-Speed,4,1.4,0,0,Premium,8,FALSE
37236,37810,2017,Minicompact Cars,Front-Wheel Drive,Manual 5-Speed,4,1.4,1,0,Premium,7,FALSE
37237,37527,2017,Two Seaters,Rear-Wheel Drive,Automatic 6-Speed,4,1.4,1,0,Premium,7,FALSE
37238,37528,2017,Two Seaters,Rear-Wheel Drive,Manual 6-Speed,4,1.4,1,0,Premium,7,FALSE
37239,37811,2017,Minicompact Cars,Front-Wheel Drive,Automatic 6-Speed,4,1.4,1,0,Premium,6,FALSE
37240,37812,2017,Minicompact Cars,Front-Wheel Drive,Manual 5-Speed,4,1.4,1,0,Premium,7,FALSE
37241,37778,2017,Small Station Wagons,Front-Wheel Drive,Automatic 6-Speed,4,1.4,1,0,Premium,5,FALSE
37242,38181,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 9-Speed,4,2.4,0,0,Regular,5,FALSE
37243,38180,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Manual 6-Speed,4,1.4,1,0,Premium,6,FALSE
37244,38183,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 9-Speed,4,2.4,0,0,Regular,5,FALSE
37245,37798,2017,Minicompact Cars,Front-Wheel Drive,Automatic (A1),6,3,0,0,Electricity,10,FALSE
37246,38506,2017,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2,0,0,Regular Gas and Electricity,10,TRUE
37247,38495,2017,Large Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2,0,0,Regular,9,FALSE
37248,38362,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2,1,0,Regular,5,FALSE
37249,38363,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,0,0,Regular,4,FALSE
37250,38400,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,2.7,1,0,Regular,4,FALSE
37251,38359,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2,1,0,Regular,5,FALSE
37252,38360,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2,1,0,Regular,5,FALSE
37253,38361,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.5,0,0,Regular,4,FALSE
37254,37362,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2,1,0,Regular,5,FALSE
37255,37363,2017,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,1.5,1,0,Regular,5,FALSE
37256,37357,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.5,0,0,Regular,5,FALSE
37257,37358,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,1.5,1,0,Regular,6,FALSE
37258,37359,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2,1,0,Regular,5,FALSE
37259,37360,2017,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.5,0,0,Gasoline or E85,5,FALSE
37260,37510,2017,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic (S6),6,3.5,1,0,Regular,3,FALSE
37261,37517,2017,Standard Sport Utility Vehicle 4WD,Part-time 4-Wheel Drive,Automatic (S6),6,3.5,1,0,Regular,3,FALSE
37262,37511,2017,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic (S6),6,3.5,1,0,Regular,3,FALSE
37263,37518,2017,Standard Sport Utility Vehicle 4WD,Part-time 4-Wheel Drive,Automatic (S6),6,3.5,1,0,Regular,2,FALSE
37264,37597,2017,Standard Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.5,0,0,Gasoline or E85,4,FALSE
37265,37598,2017,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.3,1,0,Regular,4,FALSE
37266,37599,2017,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,0,0,Regular,4,FALSE
37267,37601,2017,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,1,0,Regular,3,FALSE
37268,37600,2017,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,0,0,Gasoline or E85,4,FALSE
37269,37595,2017,Standard Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.3,1,0,Regular,5,FALSE
