Vehicle ID,Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Fuel Type 1,Fuel Type 2,City MPG,Highway MPG,Combined MPG,Annual Fuel Cost,Fuel Economy Score,Gasoline/Electricity Blended
38409,2017,Lamborghini,Aventador Coupe LP740-4,Two Seaters,All-Wheel Drive,Auto(AM-S7),12,6.5,,,Premium,Premium Gasoline,,10,16,12,3500,1,FALSE
38410,2017,Dodge,Challenger,Midsize Cars,Rear-Wheel Drive,Manual 6-Speed,8,6.4,,,Premium,Premium Gasoline,,14,23,17,2500,3,FALSE
38411,2017,Dodge,Challenger SRT,Midsize Cars,Rear-Wheel Drive,Manual 6-Speed,8,6.4,,,Premium,Premium Gasoline,,14,23,17,2500,3,FALSE
38412,2017,Volvo,V90 CC AWD,Midsize Station Wagons,All-Wheel Drive,Automatic (S8),4,2,,,Premium,Premium Gasoline,,22,30,25,1700,5,FALSE
38413,2017,Lincoln,MKT Livery AWD,Special Purpose Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,6,3.7,,,Regular,Regular Gasoline,,16,23,18,1950,3,FALSE
38414,2017,Toyota,Highlander,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.7,,,Regular,Regular Gasoline,,20,24,22,1600,5,FALSE
38415,2017,Toyota,Highlander LE/XLE/SE/LTD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S8),6,3.5,,,Regular,Regular Gasoline,,21,27,23,1500,5,FALSE
38416,2017,Toyota,Highlander,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S8),6,3.5,,,Regular,Regular Gasoline,,20,27,23,1500,5,FALSE
38417,2017,Mercedes-Benz,AMG GLC43 4matic,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 9-Speed,6,3,T,,Premium,Premium Gasoline,,18,24,20,2100,4,FALSE
38418,2017,Ford,Flex FWD,Standard Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.5,,,Regular,Regular Gasoline,,16,23,19,1850,4,FALSE
38419,2017,Lincoln,MKT FWD,Standard Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.7,,,Regular,Regular Gasoline,,16,24,19,1850,4,FALSE
38420,2017,Ford,Flex AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,,,Regular,Regular Gasoline,,16,22,18,1950,3,FALSE
38421,2017,Ford,Flex AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,T,,Regular,Regular Gasoline,,15,21,17,2050,3,FALSE
38422,2017,Lincoln,MKT AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,T,,Regular,Regular Gasoline,,15,21,17,2050,3,FALSE
38423,2017,Toyota,Highlander AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3.5,,,Regular,Regular Gasoline,,20,26,22,1600,5,FALSE
38424,2017,Toyota,Highlander AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3.5,,,Regular,Regular Gasoline,,19,26,22,1600,5,FALSE
38425,2017,Toyota,Highlander Hybrid 4WD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AV-S6),6,3.5,,,Regular,Regular Gasoline,,29,27,28,1250,6,FALSE
